Strategy 1000 of 1000 done.
Strategy: {:gold=>1.6060886947981656, :food=>0.8309997970945322, :prestige=>0.3648022424712498, :reputation=>0.46507451192080174, :power=>1.4557243105613908, :risk=>-0.8527700105023786, :karma=>1.0872813536982595, :general=>1} won 33 times
Strategy: {:gold=>0.24727980842514108, :food=>0.05110124617008949, :prestige=>1.2238437359157242, :reputation=>1.5765939763175454, :power=>1.8835031612795037, :risk=>-0.4476492868628794, :karma=>0.6787554028590848, :general=>1} won 33 times
Strategy: {:gold=>1.4275187473640583, :food=>0.5185365006931291, :prestige=>0.17486042553396142, :reputation=>-0.4002819307169694, :power=>0.5279297812703121, :risk=>0.16611943150544306, :karma=>1.2827720783645031, :general=>1} won 33 times
Strategy: {:gold=>0.22234795088986825, :food=>0.42179591904611935, :prestige=>1.9846676554080869, :reputation=>0.032707028047599174, :power=>1.9124884817078307, :risk=>-0.2181232647923117, :karma=>0.28611207444645226, :general=>1} won 33 times
Strategy: {:gold=>0.9954260579558876, :food=>0.20311433902027098, :prestige=>1.06923391426407, :reputation=>-1.5154467008753536, :power=>0.5197331805108423, :risk=>0.33481837170577844, :karma=>1.748521035628231, :general=>1} won 33 times 
Strategy: {:gold=>1.584949716591483, :food=>0.653693174191615, :prestige=>0.27024058238979576, :reputation=>0.5293989887435244, :power=>1.819350956900886, :risk=>0.07624339354416332, :karma=>0.4155592491913329, :general=>1} won 33 times
Strategy: {:gold=>1.0653278477753654, :food=>1.3375311745324383, :prestige=>0.2563242940272463, :reputation=>1.2500549742042577, :power=>0.9913957824748891, :risk=>0.4470879305379012, :karma=>0.9369378192020319, :general=>1} won 33 times 
Strategy: {:gold=>1.1315726703996005, :food=>0.5796360073903619, :prestige=>1.0951557000842422, :reputation=>-1.8772518119478332, :power=>1.7964300750191802, :risk=>-0.5557022804943608, :karma=>1.497166764365657, :general=>1} won 33 times
Strategy: {:gold=>0.521508029193088, :food=>1.6533164073778552, :prestige=>0.8464767736904593, :reputation=>-0.4897582978435482, :power=>1.2518517443896968, :risk=>0.5058703459328435, :karma=>1.021341825575749, :general=>1} won 33 times
Strategy: {:gold=>0.7332691807274141, :food=>1.1283319058992867, :prestige=>0.30928625710369717, :reputation=>-1.230427441412271, :power=>0.8235626717985953, :risk=>-0.2435274026501726, :karma=>1.0946209026805163, :general=>1} won 33 times
Strategy: {:gold=>0.744844794672709, :food=>0.01285443270803932, :prestige=>0.5590833006416212, :reputation=>0.4038916625978328, :power=>1.6859570241113278, :risk=>0.995277205749292, :karma=>1.2304437487825775, :general=>1} won 33 times
Strategy: {:gold=>1.9121083181515464, :food=>1.9243094098199574, :prestige=>1.9079302605960355, :reputation=>1.6929887471794416, :power=>1.6378663332276902, :risk=>-0.16956996412931113, :karma=>0.7810065002693927, :general=>1} won 33 times
Strategy: {:gold=>0.8524546391215753, :food=>0.021984129519740048, :prestige=>0.5005958479426895, :reputation=>-1.6453428303836466, :power=>0.5126272303998769, :risk=>-0.31277427172979966, :karma=>0.5675011375239429, :general=>1} won 32 times
Strategy: {:gold=>1.6783316561654216, :food=>0.9039432956360325, :prestige=>1.9212569950508855, :reputation=>-0.6159182891655894, :power=>1.500750015572914, :risk=>0.2634018105454423, :karma=>1.5405508750682377, :general=>1} won 32 times 
Strategy: {:gold=>1.0427616162948679, :food=>1.5709716580728224, :prestige=>0.21207020085492956, :reputation=>-1.8865758856152528, :power=>0.19959833573869035, :risk=>-0.10688620516090852, :karma=>0.5344469344583016, :general=>1} won 32 times
